"ID","Name","Buildings","Grade","Structure","Principal","Greenback"
126,"Old Christchurch Road, 1 - 5, National Westminster Bank",2,"Two",0,2,106
127,"Old Christchurch Road, Bournemouth Arcade 1 - 23",19,"Two",0,1,107
128,"Old Christchurch Road, 45 - 47, Lloyd's Bank",2,"Two",0,2,108
129,"Old Christchurch Road, 49 - 51, Barclay's Bank",2,"Two",0,2,109
130,"Old Christchurch Road, 83 - 101, Dalkeith Buildings",9,"Two",0,10,110
131,"Owls Road, 9, Burlington Hotel",1,"Two",0,1,111
132,"Palmerston Road, 58 - 62, Water Tower",1,"Two",0,1,112
133,"Parkwood Road, 13, Former Boscombe Convent",6,"Two",0,1,113
134,"Poole Hill, 2 & 4, Pars Corner",1,"Two",0,1,114
135,"Poole Hill, 6 - 18, Branksome Terrace",7,"Two",0,7,115
136,"Poole Hill, 18A - 20, Branksome Terrace",1,"Two",0,1,115
137,"Poole Hill, 20a - 22, Branksome Terrace",1,"Two",0,1,115
138,"Poole Hill, 24 - 34, Branksome Terrace",6,"Two",0,6,115
139,"Poole Hill, 1 - 3, Corner House Hotel",1,"Two",0,1,116
140,"Poole Hill, 5 - 11; West Hill Road 39 - 41, Pembroke stables",1,"Two",0,1,117
141,"Poole Hill, 13 - 31, Pembroke Hotel",3,"Two",0,1,118
142,"Poole Hill, 39",1,"Two",0,1,119
143,"Poole Hill, 41 - 45, former Bournemouth School of Art",1,"Two",0,1,120
144,"Poole Lane, 280 - 286, Lady Wimborne Cottages",4,"Two",0,4,121
145,"Poole Lane, 310 & 312, Lady Wimborne Cottages",2,"Two",0,2,122
146,"Poole Road, Church of Saint Michael",1,"Church B, Tower A",0,1,123
147,"Poole Road, Church of Saint Michael, Church Hall",1,"Two",0,1,124
148,"Poole Road, Bourne Hall, former hotel annexe",1,"Two",0,1,125
149,"Poole Road, West Cliff Baptist Church & Hall",2,"Two",0,2,126
150,"Poole Road 69 & 71, Westbourne Arcade 1 - 24",25,"Two",0,1,127
151,"Portarlington Road, 4, ""Westover""",1,"Two",0,1,128
152,"Post Office Road, Head Post Office, main facade",1,"Two",0,1,129
153,"Richmond Hill, 38, Constitutional Club",1,"Two",0,1,130
154,"Richmond Hill, 48, Norfolk Royale Hotel",1,"Two",0,1,131
155,"Richmond Hill, 56 ""Walton House"" & 58 ""Salisbury House""",1,"Two",0,1,132
156,"Richmond Hill, 17 & 19, Echo Office",1,"Two",0,1,133
157,"Richmond Hill, 21, Granville Chambers",1,"Two",0,1,134
158,"Ringwood Road, Longham Bridge",0,"Two",1,0,135
159,"Russell-Cotes road, Russel-Cotes Art Gallery & Museum",1,"Two*",0,1,136
161,"Saint Anthony's Road, 11",1,"Two",0,1,138
162,"Saint Anthony's Road, 20",1,"Two",0,1,139
163,"Saint Augustin's Road, The Church of Saint Augustin",1,"B",0,1,140
164,"Saint Catherine's Road, 36a & 38, ""Sterlings""",1,"Two",0,1,141
165,"Saint Catherine's Road, 61, ""The Briar Patch""",1,"Two",0,1,142
166,"Saint Clement's Road, Saint Clement's Church",1,"A",0,1,143
169,"Saint Clement's Road, Vicarage garden walls",0,"Two",1,0,146
170,"Saint Clement's Road, Saint Clement's School",1,"Two",0,1,147
171,"Saint Clement's Road, Saint Clement's Schoolhouse & 12a",2,"Two",0,2,148
172,"Saint Clement's Road, House of Bethany",1,"Two*",0,1,149
173,"Saint Michael's Road, 6, former Freemason's Hall",1,"Two",0,1,150
174,"Saint Stephen's Road, Church of Saint Stephen",1,"A",0,1,151
175,"Saint Stephen's Road, Royal National Hospital",5,"Two",0,1,152
177,"Saint Winifred's Road, 7",1,"Two",0,1,154
178,"School Lane, Lulworth, Talbot Village",1,"Two",0,1,155
179,"School Lane, Saint Mark's School, Talbot Village",2,"Two",0,1,156
180,"School Lane, Almshouses, Talbot Village",7,"Two",0,7,157
181,"School Lane, Rose Cottage, Talbot Village",1,"Two",0,1,158
182,"School Lane, Myrtle Cottage, Talbot Village",1,"Two",0,1,159
183,"School Lane, Pleasant Cottage, Talbot Village",1,"Two",0,1,160
184,"School Lane, White Farmhouse, Talbot Village",1,"Two",0,1,161
185,"School Lane, Storehouses & barn at White Farm, Talbot Villag",4,"Two",0,3,162
186,"Seafield Road, Water Tower",1,"Two",0,1,163
187,"Seamoor Road, 2, Pantechnicon",1,"Two",0,1,164
188,"Seamoor Road, 4, ""J. J. Allen Funeral Service""",1,"Two",0,1,165
189,"Southbourne Road, Pokesdown United Reformed Church & Sunday",2,"Two",0,2,166
190,"Stafford Road, 29 - 31, The County Court",2,"Two",0,1,167
191,"Sterte Lane, Magdalen Cottage",1,"Two",0,1,168
192,"Talbot Avenue, adj 59, Holdenhurst Parish Boundary Pier",0,"Two",1,0,169
193,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
194,"Throop Road, Piggery with curved wall",2,"Two",0,2,170
195,"Throop Road, Muccleshell Cottages 1 & 2",2,"Two",0,2,171
196,"Throop Road, Meadow View & Little Mead",2,"Two",0,2,172
198,"Throop Road, Vine Cottage",1,"Two",0,1,173
199,"Throop Road, Old Malt House",1,"Two",0,1,174
200,"Throop Road, Stourview",1,"Two",0,1,175
201,"Throop Road, Wall & Railings to Stourview",0,"Two",1,0,176
202,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
203,"Throop Road, Hicks' Farmhouse",8,"Two",0,1,177
204,"Throop Road, Throop Mill Cottage",1,"Two",0,1,178
205,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
206,"Throop Road, Barn to north west of River Farmhouse.",1,"Two",0,1,179
207,"Throop Road, River Farmhouse",1,"Two",0,1,180
208,"Throop Road, Stables to north east of River Farmhouse",2,"Two",0,1,181
209,"Throop Road, Throop Flour Mill, Parsons & Sons",1,"Two",0,1,182
210,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
211,"Throop Road, stables & cob wall, west of Throop House",1,"Two",1,1,183
212,"Throop Road, Throop House",1,"Two",0,1,184
213,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
214,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
215,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
216,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
217,"Throop Road, Gas Street Lamp",0,"Two",1,0,19
218,"Upper Terrace Road, 1 - 9",9,"Two",9,9,185
219,"Wallisdown Road, 28, Talbot Village",1,"Two",0,1,186
220,"Wallisdown Road, 38, Talbot Village",1,"Two",0,1,187
221,"Wallisdown Road, 48, Talbot Village",1,"Two",0,1,188
222,"Wallisdown Road, 58, Talbot Village",1,"Two",0,1,189
223,"Wallisdown Road, 88, Talbot Village",1,"Two",0,1,190
224,"Wallisdown Road, 100, Talbot Village",1,"Two",0,1,191
225,"Wallisdown Road, 112, Talbot Village",1,"Two",0,1,192
226,"Wallisdown Road, 122, Talbot Village",1,"Two",0,1,193
227,"Wallisdown Road, 132, Talbot Village",1,"Two",0,1,194
228,"Wallisdown Road, 142, Talbot Village",1,"Two",0,1,195
229,"Wallisdown Road, 150, Talbot Village",1,"Two",0,1,196
230,"Wallisdown Road, 158, Talbot Village",1,"Two",0,1,197
231,"Wallisdown Road, Church of Saint Mark",2,"Church C Tower B",0,1,198
234,"Wallisdown Road, 190, Talbot Village",1,"Two",0,1,200
235,"Wallisdown Road, 198, Talbot Village",1,"Two",0,1,201
236,"Water Lane, off Brecon Close, Water Lane Farm",5,"Two",0,1,202
237,"West Cliff Road, Church of Saint Ambrose",3,"B",0,1,203
238,"West Hill Road, 25 - 29, former Pembroke Arms/Shades",2,"Two",0,2,204
239,"West Hill Road, 101, former Unitarian Church",1,"Two",0,1,205
240,"Westover Road, 1 - 4a",1,"Two",0,1,206
241,"Westover Road, 1 - 4a, canopy over pavement",0,"Two",1,0,206
242,"Westover Road, 5 - 7, Westover Gardens Hotel",3,"Two",0,3,207
243,"Westover Road, 5 - 7, canopy over pavement",0,"Two",0,0,207
244,"Westover Road, The Pavilion Theatre, terrace & steps",1,"Two",3,1,208
245,"Wharncliff Road, 14",1,"Two",0,1,209
246,"Wick Lane, 28, Tuckton Public Library",1,"Two",0,1,210
247,"Wick Lane, 78 - 84, Wick House, Wick Village",1,"Two",0,1,211
248,"Wick Lane, 49 & 49b, Riverside Cottage, Wick Village",2,"Two",0,2,212
249,"Wick Lane, 90, Wick Farmhouse, Wick Village",1,"Two",0,1,213
250,"Wick Lane, The Sanctuary, Wick Village",1,"Two",0,1,214
251,"Wick Lane, Barn and two Storehouses at Wick Farm",3,"Two",0,3,215
252,"Wick Lane, The Well House, with stables and outhouse",3,"Two",0,3,216
253,"Wick Lane, 99 ""Quality"" and 101 ""Tranquility""",2,"Two",0,2,217
254,"Wimborne Road, Cemetery Chapel",8,"Two",0,1,218
255,"Wimborne Road, Church of Saint Luke",3,"C",0,1,219
256,"Wimborne Road, 624 - 626, Winton Public Library",1,"Two",0,1,220
257,"Wimborne Road, Church of Saint John",1,"B",1,1,221
258,"Wimborne Road, 965, Old Saint John's Buildings",1,"Two",0,1,222
259,"Wimborne Road, 1300, Ensbury Dower House",1,"Two",0,1,223
260,"Wimborne Road, 1492 - 1494, former Dolphin Inn",1,"Two",0,1,224
261,"Windham Road, 244 - 248",3,"Two",0,3,225
262,"Wollaston Road, Saint Katharine's Church Hall",1,"Two",0,1,226
263,"Christchurch Road, 45a, Church of Christ Scientist",1,"Two",0,1,227
264,"Michelgrove Road, San Remo Towers",1,"Two",0,1,228
265,"Mallard Road, adj 16, Bus Depot",7,"Two",0,2,229
266,"Beechwood Avenue, Shelley Manor Theatre",4,"Two",0,1,230
267,"Poole Road, 40, The Grand (bingo hall)",5,"Two",0,1,231
268,"Old Christchurch Road, 103, Dalkeith Buildings",1,"Two",0,1,232
269,"Bourne Avenue, Town Hall",1,"",0,0,0
271,"Boscombe Pier",1,"",0,0,0
270,"68 Gladstone Road",1,"Two",0,0,0
272,"Wimborne Road, Cemetery Mortuary",0,"",0,0,0
273,"Wimborne Road, Cemetery Mausoleum",0,"",0,0,0
